journal_queue_max_ops,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,300,300,300,300,300,300,300
1,300,300,300,300,300,300,300
2,300,300,300,300,300,300,300
3,300,300,300,300,300,300,300
4,300,300,300,300,300,300,300
5,300,300,300,300,300,300,300
6,300,300,300,300,300,300,300
7,300,300,300,300,300,300,300
8,300,300,300,300,300,300,300
9,300,300,300,300,300,300,300
10,300,300,300,300,300,300,300
11,300,300,300,300,300,300,300
12,300,300,300,300,300,300,300
13,300,300,300,300,300,300,300
14,300,300,300,300,300,300,300
15,300,300,300,300,300,300,300
16,300,300,300,300,300,300,300
17,300,300,300,300,300,300,300
18,300,300,300,300,300,300,300
19,300,300,300,300,300,300,300
20,300,300,300,300,300,300,300
21,300,300,300,300,300,300,300
22,300,300,300,300,300,300,300
23,300,300,300,300,300,300,300
24,300,300,300,300,300,300,300
25,300,300,300,300,300,300,300
26,300,300,300,300,300,300,300
27,300,300,300,300,300,300,300
28,300,300,300,300,300,300,300
29,300,300,300,300,300,300,300
30,300,300,300,300,300,300,300
31,300,300,300,300,300,300,300
32,300,300,300,300,300,300,300
33,300,300,300,300,300,300,300
34,300,300,300,300,300,300,300
35,300,300,300,300,300,300,300
36,300,300,300,300,300,300,300
37,300,300,300,300,300,300,300
38,300,300,300,300,300,300,300
39,300,300,300,300,300,300,300
40,300,300,300,300,300,300,300
41,300,300,300,300,300,300,300
42,300,300,300,300,300,300,300
43,300,300,300,300,300,300,300
44,300,300,300,300,300,300,300
45,300,300,300,300,300,300,300
46,300,300,300,300,300,300,300
47,300,300,300,300,300,300,300
48,300,300,300,300,300,300,300
49,300,300,300,300,300,300,300
50,300,300,300,300,300,300,300
51,300,300,300,300,300,300,300
52,300,300,300,300,300,300,300
53,300,300,300,300,300,300,300
54,300,300,300,300,300,300,300
55,300,300,300,300,300,300,300
56,300,300,300,300,300,300,300
57,300,300,300,300,300,300,300
58,300,300,300,300,300,300,300
59,300,300,300,300,300,300,300
60,300,300,300,300,300,300,300
61,300,300,300,300,300,300,300
62,300,300,300,300,300,300,300
